249,249,249,249,249,249,249,252,252,249,
249,249,252,252,249,249,249,249,41,42,
252,252,249,249,249,252,252,249,71,72,
252,249,249,249,252,252,249,249,71,72,
252,249,249,249,252,249,249,249,71,72,
249,249,249,252,249,249,249,249,71,72,
249,249,252,252,249,249,252,249,71,72,
249,249,249,252,249,252,252,249,71,72,
252,252,252,252,249,249,249,249,71,69,
249,249,249,249,249,249,249,249,71,69,
249,44,249,44,249,44,249,44,71,72,
44,249,44,249,44,249,44,249,71,72,
279,279,279,279,279,279,279,279,280,72,
72,72,72,69,72,72,72,72,69,72,
72,72,72,69,72,69,69,69,69,72,
69,69,72,72,72,72,72,72,72,72
