0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,210,0,0,0,0,
0,0,165,0,0,135,135,135,135,135,135,135,194,0,0,239,240,0,165,0,0,
27,28,28,28,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,
57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
87,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
209,210,0,0,0,207,208,207,208,207,208,209,210,209,210,209,210,207,208,209,210,
239,240,194,194,194,237,238,237,238,237,238,239,240,239,240,239,240,237,238,239,240,
207,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,
237,238,0,0,0,0,0,0,135,135,0,0,135,0,0,0,0,0,135,0,57,
209,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,
239,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,
207,208,0,0,135,0,0,0,135,0,135,0,0,135,0,0,135,0,0,0,57,
237,238,0,135,135,0,0,135,135,0,135,0,0,0,0,0,0,135,0,0,57,
194,164,0,0,135,135,0,0,135,0,135,0,135,0,0,0,0,0,0,0,57,
209,210,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,57,
239,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
