249,249,249,252,249,252,252,249,249,249,249,249,252,252,252,252,252,252,252,252,249,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
69,69,69,69,72,72,72,72,69,69,72,72,72,72,72,72,72,72,69,69,69,
72,72,72,72,72,69,69,72,72,69,72,72,72,72,72,72,69,72,72,69,69,
72,69,69,72,72,69,69,69,72,72,72,72,72,69,72,72,72,72,72,69,69,
69,69,69,72,72,72,72,72,69,72,72,69,72,72,69,69,72,72,72,69,69,
69,69,72,72,69,69,72,72,72,72,72,72,72,72,72,72,69,72,72,69,69,
72,69,69,69,69,69,72,72,72,72,72,72,72,72,72,69,72,72,69,69,69,
72,72,72,72,72,72,69,69,69,72,72,72,72,72,72,72,72,72,72,69,69,
69,69,69,72,72,72,72,72,72,72,72,72,72,72,69,69,69,72,72,69,69,
69,69,69,69,69,69,69,69,69,69,72,72,69,69,72,72,72,72,69,72,69,
69,69,72,72,72,72,72,72,72,72,72,69,69,69,69,69,72,72,72,72,69,
69,69,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,69,69,69,69
